UnitCode,UnitName,UnitWebsite,Black,BrownGrizzly,Polar
MANA,Manassas National Battlefield Park,http://www.nps.gov/MANA,1,0,0
MEVE,Mesa Verde National Park,http://www.nps.gov/MEVE,1,0,0
MIMA,Minute Man National Historical Park,http://www.nps.gov/MIMA,1,0,0
MISS,Mississippi National River and Recreation Areas National River,http://www.nps.gov/MISS,1,0,0
MOCA,Montezuma Castle National Monument,http://www.nps.gov/MOCA,1,0,0
MORA,Mount Rainier National Park,http://www.nps.gov/MORA,1,0,0
MORR,Morristown National Historical Park,http://www.nps.gov/MORR,1,0,0
NABR,Natural Bridges National Monument,http://www.nps.gov/NABR,1,0,0
NAVA,Navajo National Monument,http://www.nps.gov/NAVA,1,0,0
NERI,New River Gorge National River,http://www.nps.gov/NERI,1,0,0
NOAT,Noatak National Preserve,http://www.nps.gov/NOAT,1,1,0
NOCA,North Cascades National Park,http://www.nps.gov/NOCA,1,1,0
OLYM,Olympic National Park,http://www.nps.gov/OLYM,1,0,0
ORCA,Oregon Caves National Monument,http://www.nps.gov/ORCA,1,0,0
ORPI,Organ Pipe Cactus National Monument,http://www.nps.gov/ORPI,1,0,0
OZAR,Ozark National Scenic Riverways National River,http://www.nps.gov/OZAR,1,0,0
PECO,Pecos National Historical Park,http://www.nps.gov/PECO,1,0,0
PEFO,Petrified Forest National Park,http://www.nps.gov/PEFO,1,0,0
PERI,Pea Ridge National Military Park,http://www.nps.gov/PERI,1,0,0
PETE,Petersburg National Battlefield,http://www.nps.gov/PETE,1,0,0
PETR,Petroglyph National Monument,http://www.nps.gov/PETR,1,0,0
PIRO,Pictured Rocks National Lakeshore,http://www.nps.gov/PIRO,1,0,0
PORE,Point Reyes National Seashore,http://www.nps.gov/PORE,1,0,0
REDW,Redwood National Park,http://www.nps.gov/REDW,1,0,0
ROMO,Rocky Mountain National Park,http://www.nps.gov/ROMO,1,0,0
SACN,Saint Croix National Scenic River National Wild And Scenic River,http://www.nps.gov/SACN,1,0,0
SAGU,Saguaro National Park,http://www.nps.gov/SAGU,1,0,0
SAPU,Salinas Pueblo Missions National Monument,http://www.nps.gov/SAPU,1,0,0
SARA,Saratoga National Historical Park,http://www.nps.gov/SARA,1,0,0
SEKI,Sequoia and Kings Canyon National Parks,http://www.nps.gov/SEKI,1,0,0
SHEN,Shenandoah National Park,http://www.nps.gov/SHEN,1,0,0
SITK,Sitka National Historical Park,http://www.nps.gov/SITK,1,0,0
