ALPHA,Park Name,State,Region,Welcome Letter,CFP Park,Date Cert.,Acreage,Visitation,,
CAVE,Carlsbad Caverns National Park,NM,IMR,,0,," 	1,618 "," 	18,001 ",,
SUCR,Sunset Crater Volcano National Monument,AZ,IMR,,1,7/24/12," 	85,932 "," 	240,574 ",,
CAGR,Casa Grande Ruins National Monument,AZ,IMR,,0,," 	86,416 "," 	128,399 ",,
CACL,Caste Clinton National Monument,NY,NER,,0,," 	1,690 ", 	-00 ,,
CASA,Castillo de San Marcos National Monument,FL,SER,,0,, 	785 ," 	21,758 ",,
WACA,Walnut Canyon National Monument,AZ,IMR,,1,7/24/12, 	160 ," 	62,851 ",,
CEBR,Cedar Breaks National Monument,UT,IMR,,0,," 	23,777 "," 	980,153 ",,
CEBE,Cedar Creek/Belle Grove National Historic Park,VA,NER,,0,," 	44,978 "," 	878,353 ",,
CHCU,Chaco Culture National Historic Park,NM,IMR,,0,, 	765 ," 	277,632 ",,
CHAM,Chamizal National Memorial,TX,IMR,,0,," 	1,570 "," 	359,871 ",,
WUPA,Wupatki National Memorial,AZ,IMR,,1,7/24/12," 	52,485 "," 	503,154 ",,
CHPI,Charles Pickney National Historic Site,SC,SER,,0,, 	859 ," 	458,842 ",,
CHAT,Chattahoochee River National Recreation Area,GA,SER,,0,," 	7,636 "," 	74,768 ",,
CHCH,Chick and Chatt National Military Park,GA,SER,,0,, 	360 ," 	60,146 ",,
CHIC,Chickasaw National Recreation Area,OK,IMR,,0,," 	330,689 "," 	236,808 ",,
CHIR,Chiricahua National Monument,AZ,IMR,,0,," 	130,434 "," 	627,378 ",,
CHRI,Christiansted National Historic Site,VI,SER,,0,," 	3,407 "," 	28,582 ",,
YELL,Yellowstone National Park,ID,IMR,,1,Apr-14," 	6,669 "," 	27,830 ",,
ZION,Zion National Park,UT,IMR,,1,Mar-05," 	221,621 "," 	484,539 ",,
COLO,Colonial National Historic Park,VA,NER,,0,," 	7,232 "," 	93,486 ",,
COLM,Colorado National Monument,CO,IMR,,0,, 	40 ," 	41,749 ",,
CONG,Congaree National Park,SC,SER,,0,, 	160 ," 	82,112 ",,
APIS,Apostle Islands National Lakeshore,WI,MWR,,1,Mar-08," 	9,600 ", 	90 ,,
CORO,Coronado National Memorial,AZ,IMR,,0,," 	265,758 "," 	2,450,546 ",,
COWP,Cowpens National Battlefield,SC,SER,,0,," 	91,440 "," 	479,141 ",,
CUVA,Cuyahoga Valley National Park,OH,MWR,,1,11/15/13," 	1,071 "," 	25,670 ",,
INDU,Indiana Dunes National Lakeshore,IN,MWR,,1,1/15/13, 	826 ," 	931,770 ",,
CUGA,Cumberland Gap National Historic Park,KY,SER,,0,," 	12,583 ", 	-00 ,,
CUIS,Cumberland Island National Seashore,GA,SER,,0,," 	3,040 "," 	175,839 ",,
CURE,Curecanti National Recreation Area,CO,IMR,,0,, 	250 ," 	106,889 ",,
JECA,Jewel Cave National Monument,SD,MWR,,1,2/19/13," 	1,120 "," 	49,668 ",,
DAAV,Dayton Aviation Heritage National Historic Park,OH,MWR,,0,, 	360 ," 	29,478 ",,
DESO,De Soto National Memorial,FL,SER,,0,, 	812 ," 	90,046 ",,
PIRO,Pictured Rocks National Lakeshore,MI,MWR,,1,," 	3,529 "," 	96,185 ",,
DELA,Delaware National Scenic River,NJ,NER,,0,, 	315 ," 	11,427 ",,
SCBL,Scotts Bluff National Monument,NE,MWR,,1,7/3/13," 	143,733 "," 	351,935 ",,
DENA,Denali National Park and Preserve,AK,AKR,,0,," 	35,422 "," 	194,124 ",,
ANTI,Antietam National Battlefield,MD,NCR,,1,8/30/13," 	2,219,791 "," 	2,692,077 ",,
DETO,Devils Tower National Monument,WY,IMR,,0,, 	34 , 	-00 ,,
DINO,Dinosaur National Monument,CO,IMR,,0,," 	146,597 "," 	2,136,734 ",,
DRTO,Dry Tortugas National Park,FL,SER,,0,," 	3,058 "," 	12,245 ",,
EBLA,Ebey's Landing National Historical Reserve,WA,PWR,,0,," 	69,372 "," 	176,339 ",,
EDAL,Edgar Allen Poe National Historic Site,PA,NER,,0,, 	758 ," 	30,412 ",,
EDIS,Edison National Historic Site,NJ,NER,,0,," 	242,756 "," 	745,477 ",,
EFMO,Effigy Mounds National Monument,IA,MWR,,0,, 	2 ," 	17,310 ",,
EISE,Eisenhower National Historic Site,PA,NER,,0,," 	94,293 "," 	908,811 ",,
ELMA,El Malpais National Monument,NM,IMR,,0,," 	32,856 "," 	2,054,374 ",,
ELMO,El Morro National Monument,NM,IMR,,0,, 	86 ," 	42,988 ",,
ELRO,Eleanor Roosevelt National Historic Site,NY,NER,,0,," 	2,526 "," 	71,808 ",,
ARHO,"Arlington House, Robert E Lee Memorial",VA,NCR,,1,2012, 	0 ," 	7,772 ",,
CHOH,C&O Canal National Historic Park,MD,NCR,,1,2012, 	718 ," 	27,205 ",,
