ALPHA,Park Name,State,Region,Welcome Letter,CFP Park,Date Cert.,Acreage,Visitation,,
PISP,Pipe Springs National Monument,AZ,IMR,,0,," 	1,584 ", 	-00 ,,
PIPE,Pipestone National Monument,MN,MWR,,0,, 	814 ," 	72,100 ",,
LACH,Lake Chelan National Recreation Area,WA,PWR,,1,, 	73 , 	-00 ,,
LAME,Lake Mead National Recreation Area,AZ,PWR,,1,7/1/10," 	1,533,563 "," 	472,983 ",,
LARO,Lake Roosevelt National Recreation Area,WA,PWR,,1,3/23/11," 	236,381 "," 	1,021,973 ",,
POPO,Poverty Point National Monument,LA,SER,,0,, 	554 ," 	595,286 ",,
LAVO,Lassen Volcanic National Park,CA,PWR,,1,3/23/11," 	9,000 ", 	-00 ,,
PUHO,Pu'uhonua O Honaunau,HI,PWR,,,," 	4,570 "," 	122,463 ",,
LABE,Lava Beds National Monument,CA,PWR,,1,1/24/11," 	504,781 "," 	18,000 ",,
RABR,Rainbow Bridge National Monument,UT,IMR,,0,," 	922,651 "," 	2,363,206 ",,
FOCL,Lewis and Clark National Historic Park,OR,PWR,,1,1/12/11, 	488 ," 	69,184 ",,
MANZ,Manzanar National Historic Site,CA,PWR,,1,8/11/10," 	26,491 "," 	129,862 ",,
RIGR,Rio Grande Wild and Scenic River,TX,IMR,,0,," 	71,070 "," 	1,607,884 ",,
MIIN,Minidoka National Historic Site,ID,PWR,,1,, 	420 ," 	373,125 ",,
MOJA,Mojave National Preserve,CA,PWR,,1,8/11/10, 	86 ," 	78,990 ",,
ROWI,Roger Williams National Memorial,RI,NER,,0,," 	112,582 "," 	332,275 ",,
RORI,Rosie the Riveter National Historic Park,CA,PWR,,0,, 	145 , 	-00 ,,
MORA,Mount Rainier National Park,WA,PWR,,1,Mar-09," 	117,575 "," 	262,548 ",,
RUCA,Russell Caves National Monument,AL,SER,,0,, 	50 ," 	3,119,892 ",,
SAHI,Sagamore Hill National Historic Site,NY,NER,,0,," 	1,752 "," 	211,723 ",,
SAGU,Saguaro National Park,AZ,IMR,,0,," 	156,673 "," 	400,650 ",,
SACR,Saint Croix Island International Historic Site,ME,NER,,0,," 	865,964 "," 	1,295,320 ",,
SACN,Saint Croix National Scenic River,MN,MWR,,0,," 	2,037 "," 	30,652 ",,
SAPA,Saint Paul's Church National Historic Site,NY,NER,,0,," 	42,503 "," 	656,260 ",,
SAGA,Saint-Gaudens National Historic Park,NH,NER,,0,, 	139 ," 	43,790 ",,
SAMA,Salem Maritime National Historic Site,MA,NER,,0,, 	-00 ," 	1,176,018 ",,
SAPU,Salinas Pueblo Missions National Monument,NM,IMR,,0,," 	761,268 "," 	2,673,859 ",,
SARI,Salt River Bay National Historic Park,VI,SER,,0,, 	345 ," 	167,155 ",,
MUWO,Muir Woods National Monument,CA,PWR,,1,Dec-08, 	515 ," 	100,526 ",,
NEPE,Nez Perce National Historical Site,ID,PWR,,1,8/11/10, 	17 ," 	37,197 ",,
NOCA,North Cascades National Park Service Complex,WA,PWR,,1,2010," 	228,664 ", 	-00 ,,
OLYM,Olympic National Park,WA,PWR,,1,2009," 	146,113 "," 	609,293 ",,
SAND,Sand Creek Massacre National Historic Site,CO,IMR,,0,," 	125,310 "," 	474,413 ",,
ORCA,Oregon Caves National Monument,OR,PWR,,1,1/24/11," 	172,971 "," 	445,983 ",,
SARA,Saratoga National Historic Park,NY,NER,,0,," 	94,033 "," 	13,918,545 ",,
SAIR,Saugus Iron Works National Historic Site,MA,NER,,0,, 	1 , 	-00 ,,
PINN,Pinnacles National Monument,CA,PWR,,1,8/11/10," 	19,015 "," 	36,485 ",,
PORE,Point Reyes National Seashore,CA,PWR,,1,8/12/10," 	57,662 "," 	803,680 ",,
SHEN,Shenandoah National Park,VA,NER,,0,, 	207 ," 	13,608 ",,
SHIL,Shiloh National Military Park,TN,SER,,0,," 	30,351 "," 	1,796,572 ",,
SITK,Sitka National Historic Park,AK,AKR,,0,," 	28,243 "," 	397,384 ",,
SLBE,Sleeping Bear Dunes National Lakeshore,MI,MWR,,0,, 	264 ," 	20,364 ",,
SPAR,Springfield Armory National Historic Site,MA,NER,,0,, 	18 ," 	491,652 ",,
STLI,Statue of Liberty National Monument,NY,NER,,0,, 	28 ," 	29,377 ",,
STEA,Steamtown National Historic Site,PA,NER,,0,," 	9,354 "," 	2,214,261 ",,
STRI,Stones River National Battlefield,TN,SER,,0,," 	9,036 "," 	698,140 ",,
PUHE,Puukohola Heiau National Historic Park,HI,PWR,,1,1/24/11, 	27 ," 	76,873 ",,
TAPR,Tallgrass Prairie National Preserve,KS,MWR,,0,," 	26,546 "," 	97,024 ",,
THKO,Thaddeus Kosciuszko National Memorial,PA,NER,,0,, 	842 ," 	118,313 ",,
THRB,Theodore Roosevelt Birthplace National Historic Site,NY,NER,,0,," 	22,366 "," 	711,529 ",,
THRI,Theodore Roosevelt Inaugural National Historic Site,NY,NER,,0,," 	36,347 "," 	35,011 ",,
REDW,Redwood National Park,CA,PWR,,1,3/23/11, 	30 ," 	187,041 ",,
THRO,Theodore Roosevelt National Park,ND,MWR,,0,," 	64,701 "," 	41,134 ",,
ROLA,Ross Lake National Recreation Area,WA,PWR,,1,2009," 	1,508,536 "," 	619,971 ",,
THST,Thomas Stone National Historic Site,MD,NER,,0,, 	138 ," 	163,541 ",,
TICA,Timpanogos Cave National Monument,UT,IMR,,0,," 	1,006 "," 	169,608 ",,
TIMU,Timucuan Ecological and Historic Preserve,FL,SER,,0,, 	284 ," 	258,695 ",,
TONT,Tonto National Monument,AZ,IMR,,0,, 	300 ," 	771,461 ",,
TUMA,Tumacacori Naitonal Historic Park,AZ,IMR,,0,," 	5,623 "," 	263,352 ",,
TUPE,Tupelo National Battlefield,MS,SER,,0,, 	513 ," 	261,489 ",,
TUAI,Tuskegee Airmen National Historic Site,AL,SER,,0,, 	235 ," 	647,732 ",,
TUIN,Tuskegee Institute National Historic Site,AL,SER,,0,," 	522,051 "," 	6,955,608 ",,
TUZI,Tuzigoot National Monument,AZ,IMR,,0,, 	230 ," 	430,072 ",,
ULSG,Ulysses S. Grant National Historic Site,MO,MWR,,0,," 	137,991 "," 	2,035,486 ",,
UPDE,Upper Delaware Scenic & Recreational River,NY,NER,,0,," 	2,040 "," 	55,974 ",,
VAFO,Valley Forge National Historic Park,PA,NER,,0,," 	20,001 "," 	188,996 ",,
VAMA,Vanderbilt Mansion National Historic Site,NY,NER,,0,, 	72 ," 	66,682 ",,
VICK,Vicksburg National Military Park,MS,SER,,0,," 	2,853 "," 	1,038,238 ",,
SAFR,San Francisco Maritime National Historic Park,CA,PWR,,1,8/11/10," 	3,945 "," 	193,776 ",,
VICR,Virgin Islands Coral Reef,VI,SER,,0,," 	13,633 "," 	163,576 ",,
VIIS,Virgin Islands National Park,VI,SER,,0,," 	52,830 "," 	463,336 ",,
VOYA,Voyageurs National Park,MN,MWR,,0,, 	39 ," 	686,250 ",,
SAJH,San Juan Island National Historic Park,WA,PWR,,1,1/24/11, 	88 ," 	33,607 ",,
WAPA,War in the Pacific National Historic Park,HI,PWR,,0,, 	108 , 	-00 ,,
WABA,Washita Battlefield National Historic Site,OK,IMR,,0,," 	10,995 "," 	4,249,101 ",,
WEFA,Weir Farms National Historic Site,CT,NER,,0,, 	5 ," 	24,357 ",,
SAMO,Santa Monica Mountains National Recreation Area,CA,PWR,,1,7/26/10," 	1,022 "," 	26,361 ",,
WHHO,White House,DC,NCR,,0,," 	5,073 "," 	147,572 ",,
WHSA,White Sands National Monument,NM,IMR,,0,, 	702 ," 	113,162 ",,
SEKI,Sequoia and Kings Canyon National Park,CA,PWR,,1,2007, 	911 , 	-00 ,,
WIHO,William H Taft National Historic Site,OH,MWR,,0,, 	310 ," 	36,846 ",,
WICR,Wilsons Creek National Battlefield,MO,MWR,,0,, 	982 , 	-00 ,,
WICA,Wind Cave National Park,SD,MWR,,0,,,,,
WHIS,Whiskeytown National Recreation Area,CA,PWR,,1,1/24/11," 	6,181 "," 	265,047 ",,
WORI,Women's Rights National Historic Park,NY,NER,,0,, 	709 ," 	158,882 ",,
WHMI,Whitman Mission National Historic Site,WA,PWR,,1,8/11/10," 	46,295 "," 	842,336 ",,
WRST,Wrangell Saint Elias National Preserve and Preserve,AK,AKR,,0,, 	1 , 	-00 ,,
WRBR,Wright Brothers National Memorial,NC,SER,,,, 	90 ," 	8,962 ",,
VALR,World War II Valor in the Pacific National Monument,HI,PWR,,1,1/12/11, 	58 ," 	61,402 ",,
YOSE,Yosemite National Park,CA,PWR,,1,2006," 	1,795 "," 	533,462 ",,
EVER,Everglades National Park,FL,SER,,1,Jun-05," 	13,893 ", 	-00 ,,
YUHO,Yucca House National Monument,CO,IMR,,0,," 	14,686 "," 	482,033 ",,
YUCH,Yukon Charley Rivers National Preserve,AK,AKR,,0,, 	428 ," 	406,303 ",,
GRSM,Great Smoky Mountains National Park,TN,SER,10/19/11,1,Oct-11,,,,
,TOTALS,,,,110,,,,,
